location,iso_code,continent,cases,inf_rate,deaths,death_rate,population,pop_density,median_age,pct_over_65,pct_over_70,life_expectancy,gdp_pc,pct_extreme_poverty,pct_diabetes,pct_male_smokers,pct_female_smokers,pct_pop_access_handwash,hospital_beds_per_thousand,response,bci_bci,bci_bcistd,ciri_assn,ciri_dommov,ciri_elecsd,ciri_speech,cspf_sfi,em_active,epi_h2o,fhp_mcei5,fh_aor,fh_cl,fh_feb,fh_fog,fh_pair,fh_polity2,fh_ppp,fh_pr,fhp_status5,gpi_dic,gpi_gpi,gpi_jail,hf_efiscore,hf_govint,p_durable,undp_hdi,vdem_polyarchy,voh_gti,wbgi_gee,wbgi_pve,wbgi_rle,wbgi_rqe,wdi_acel,wdi_chexppgdp,wdi_dgovhexp,wdi_dprivhexp,wdi_export,wdi_import,wdi_fdiin,wdi_fdiout,wdi_fertility,wdi_gdppppcur,wdi_gdpcapgr,wdi_gini,wdi_imig,wdi_incsh10h,wdi_inflation,wdi_lifexp,wdi_migration,wdi_ophexp,wdi_pop,wdi_popgr,wdi_popurb,wdi_smop,wdi_unempilo,who_halet,who_infmortt,who_let
Estonia,EST,Europe,2190,9.690265487,63,0.278761062,1326539,31.033,42.7,19.452,13.491,78.74,29481.252,0.5,4.02,39.3,24.5,,4.69,32.8616055,24.77734375,1.766541958,2,2,2,2,0,150,58.45000076,7,12,1,16,11,14,9.75,15,1,1,1,1.715999961,2.717000008,77.19999695,69,16,0.867999971,0.894999981,0.458000004,1.090856671,0.673907757,1.226358056,1.698142052,100,6.683684349,5.040361404,24.37126541,77.59978485,73.52783203,3.916098118,1.635205746,1.600000024,40654684160,3.458973408,32.70000076,15.41630936,24.39999962,0.148684904,77.64146423,19555,22.68592644,1315790,0.029112225,68.56300354,31.29999924,6.762000084,68.19999695,2.299999952,77.80000305
Ethiopia,ETH,Africa,29876,190.2929936,528,3.363057325,114963583,104.957,19.8,3.526,2.063,66.6,1729.927,26.7,7.47,8.5,0.4,7.96,0.3,74.01576159,50.57269287,2.092828989,0,2,0,0,19,1,9.350000381,19,0,6,2,3,4,2.166666746,0,7,3,1,2.345000029,2.013000011,51.5,33,11,0.456999987,0.231999993,5.913000107,-0.638356149,-1.619813204,-0.49234876,-1.101312518,42.90000153,3.974015951,1.097491264,57.06436539,7.812080383,27.08697319,5.370788574,,4.455999851,1.80909E+11,6.50967598,35,1.079526067,28.5,7.26373148,65.48200226,150002,37.4241333,103603504,2.708106279,19.86599922,4.400000095,1.934999943,57.5,42.09999847,65.5
Faeroe Islands,FRO,Europe,372,2.254545455,0,0,48865,35.308,,,,80.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands,FLK,South America,13,0.095588235,0,0,3483,,,,,81.44,,,,,,,,57.58460674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,Oceania,28,0.185430464,1,0.006622517,896444,49.562,28.6,6.224,3.284,67.44,8702.975,1.4,14.49,34.8,10.2,,2.3,59.62603093,36.89287186,3.720554113,1,2,2,0,4,,39.93000031,12,5,4,12,7,10,5.916666985,10,3,2,,,,58.79999924,22.29999924,2,0.737999976,0.486999989,,-0.248813257,0.91781497,-0.27447015,-0.377098411,96.67555237,3.461467981,2.211956978,33.00947952,,,7.948906422,-0.333544284,2.796999931,8447984128,2.201481104,36.70000076,1.541341424,29.70000076,3.864771366,67.17500305,-31008,20.63828468,872399,0.433308393,55.23500061,22.60000038,4.318999767,61.29999924,21.10000038,69.90000153
Finland,FIN,Europe,7731,34.05726872,333,1.466960352,5540718,18.136,42.8,21.228,13.264,81.91,40585.721,,5.76,22.6,18.3,,3.28,34.51614035,8.429590225,1.750301957,2,2,2,2,0,2860,100,4,12,1,16,12,16,10,16,1,1,1,1.52699995,1.434999943,72.59999847,89,72,0.917999983,0.843999982,2.332000017,1.828907728,0.999086499,2.015213728,1.817407608,100,9.493058205,7.343834877,22.63849831,35.86750793,36.90234375,2.039977074,7.696196556,1.570000052,2.40309E+11,2.476961136,27.10000038,5.739683151,22.39999962,0.356684506,81.42926788,70000,20.35396957,5495303,0.287421405,85.27500153,20.39999962,8.81799984,71.69999695,1.600000024,81.40000153
France,FRA,Europe,218536,946.04329,30410,131.6450216,65273512,122.578,42,19.718,13.079,82.66,38605.671,,4.77,35.6,30.1,,5.98,51.8572973,25.62768555,1.647874951,0,2,2,1,0,3603,97.22000122,7,11,2,14,11,14,9.333333969,15,1,1,1,1.868999958,1.799000025,62.29999924,69,47,0.898999989,0.933000028,5.940999985,1.405252218,-0.095359117,1.413081884,1.07032311,100,11.5392952,9.565596581,17.10400391,30.24753761,30.85260582,1.327069044,3.019968987,1.919999957,2.81127E+12,0.692650616,32.70000076,12.08847904,26.60000038,0.183334857,82.52439117,182636,9.756243706,66859768,0.399244815,79.91699982,32.70000076,10.05700016,73.40000153,3.400000095,82.90000153
French Polynesia,PYF,Oceania,192,1.263157895,0,0,280904,77.324,32.7,7.775,4.593,77.66,,,22.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,Africa,8225,52.38853503,51,0.324840764,2225728,7.859,23.1,4.45,2.976,66.47,16562.413,3.4,7.2,,,,6.3,71.75467105,55.224617,2.515613079,0,1,0,0,10,,22.22999954,22,4,5,9,3,5,4.5,3,6,3,1,2.032000065,2.52699995,59,37,7,0.698000014,0.437999994,0,-0.792063236,-0.104910977,-0.60455215,-0.797910392,91.05812836,3.112913132,2.010546446,34.55839539,44.03534698,26.09803391,8.856122017,0.323239654,4.039000034,35820249088,-0.968799949,38,15.55585957,27.70000076,2.106707096,65.41799927,16301,22.51306725,2007873,3.043395042,88.55899811,,19.62599945,58.70000076,34.79999924,66.40000153
Gambia,GMB,Africa,1872,12.23529412,63,0.411764706,2416664,207.566,17.5,2.339,1.417,62.05,1561.767,10.1,1.91,31.2,0.7,7.876,1.1,69.72818792,43.24607468,1.825121999,0,2,1,0,15,,16.79999924,23,2,6,3,0,6,2.083333254,5,6,3,1,2.220999956,1.458999991,57.09999847,29,19,0.456999987,0.293000013,0,-0.841943324,-0.434412301,-0.774468124,-0.50932467,54.74732208,4.431537628,0.822793424,37.59633255,16.72313881,32.19829178,-0.078508019,0.253976554,5.337999821,3349853440,-2.550734282,35.90000153,9.67088604,28.70000076,7.228792667,61.16600037,-15436,23.5905304,2149139,2.988605738,59.91799927,15.5,9.43599987,54.40000153,40.90000153,61.90000153
