location,iso_code,continent,cases,inf_rate,deaths,death_rate,population,pop_density,median_age,pct_over_65,pct_over_70,life_expectancy,gdp_pc,pct_extreme_poverty,pct_diabetes,pct_male_smokers,pct_female_smokers,pct_pop_access_handwash,hospital_beds_per_thousand,response,bci_bci,bci_bcistd,ciri_assn,ciri_dommov,ciri_elecsd,ciri_speech,cspf_sfi,em_active,epi_h2o,fhp_mcei5,fh_aor,fh_cl,fh_feb,fh_fog,fh_pair,fh_polity2,fh_ppp,fh_pr,fhp_status5,gpi_dic,gpi_gpi,gpi_jail,hf_efiscore,hf_govint,p_durable,undp_hdi,vdem_polyarchy,voh_gti,wbgi_gee,wbgi_pve,wbgi_rle,wbgi_rqe,wdi_acel,wdi_chexppgdp,wdi_dgovhexp,wdi_dprivhexp,wdi_export,wdi_import,wdi_fdiin,wdi_fdiout,wdi_fertility,wdi_gdppppcur,wdi_gdpcapgr,wdi_gini,wdi_imig,wdi_incsh10h,wdi_inflation,wdi_lifexp,wdi_migration,wdi_ophexp,wdi_pop,wdi_popgr,wdi_popurb,wdi_smop,wdi_unempilo,who_halet,who_infmortt,who_let
Guinea,GIN,Africa,8482,54.37179487,51,0.326923077,13132792,51.755,19,3.135,1.733,61.6,1998.926,35.3,2.42,,,17.45,0.3,67.35,68.84654236,2.803771019,0,0,0,0,18,,12.78999996,17,5,5,10,3,5,5.166666508,8,5,3,1,2.099999905,1.20599997,53.29999924,25,3,0.449000001,0.460999995,0.718999982,-1.005860209,-0.393874824,-1.216067791,-0.867673695,33.5,5.478273392,0.673747778,60.46841812,29.37151146,82.46794891,18.80926704,0.245262101,4.854000092,25440104448,7.936366558,,1.811566591,,8.172680855,60.16999817,-20000,49.76181412,11738441,2.644487381,35.45999908,,3.667999983,52.20000076,67.5,59.79999924
Guinea-Bissau,GNB,Africa,2117,14.70138889,33,0.229166667,1967998,66.191,19.4,3.002,1.565,58.32,1548.675,67.1,2.42,,,6.403,,,74.88964081,3.932085991,2,2,1,1,17,,10.01000023,18,5,5,10,1,5,5.666666508,8,5,2,1,2.286000013,1.324000001,51.79999924,19,2,0.453000009,0.551999986,0.037999999,-1.64299798,-0.442693859,-1.486801982,-1.23582685,23.19525909,6.090117455,2.694961071,35.40050125,26.50811386,31.30410957,1.207065463,0.022653114,4.631000042,2938237440,3.566049337,,1.210903764,,1.575302243,57.32799911,-6996,35.40050125,1782437,2.570575714,42.53300095,,4.21999979,51.70000076,57.5,59.79999924
Guya,GUY,South America,709,4.544871795,23,0.147435897,786559,3.952,26.3,5.305,2.837,69.91,7435.047,,11.62,,,77.159,1.6,78.30236111,58.61727142,2.630759954,2,2,2,2,9,3,38.66999817,11,10,3,15,8,9,8,13,2,2,1,2.029000044,3.025000095,55.40000153,30,24,0.65200001,0.601999998,0.152999997,-0.301524252,-0.026062664,-0.309113592,-0.416516244,89.60477448,4.243287086,2.50079155,35.1542244,45.84443283,54.55866623,0.913209379,0.742003977,2.509000063,6066708992,2.789214849,,2.005514383,,0.836008072,69.45400238,-30001,35.05651855,771366,0.511309266,26.48200035,,12.3380003,58.29999924,26.60000038,66.19999695
Haiti,HTI,North America,7879,52.17880795,196,1.298013245,11402533,398.448,24.3,4.8,2.954,64,1653.173,23.5,6.65,23.1,2.9,22.863,0.7,70.32316901,65.69625854,2.647634983,1,2,1,1,14,,15.44999981,18,4,5,10,4,6,5.416666508,8,5,2,1,2.049999952,1.807000041,51.29999924,19,0,0.495999992,0.411000013,2.390000105,-2.078491926,-0.743788064,-1.001996517,-1.238312006,40.40000153,5.385718346,0.825923443,46.28024292,20.72184372,52.62005234,1.315267563,0,3.040999889,19372752896,0.100985989,,0.369048208,,11.50290775,62.89599991,-175000,41.73194885,10839970,1.341320992,53.39599991,12.69999981,13.64700031,55.29999924,52.09999847,63.5
Honduras,HND,North America,50502,321.6687898,1575,10.03184713,9904608,82.805,24.9,4.652,2.883,75.27,4541.795,16,7.21,,2,84.169,0.7,97.19892617,57.50077438,2.21368289,0,2,1,1,7,43,34.06000137,15,5,4,9,4,8,6.75,8,4,3,1,2.193000078,2.565999985,57.70000076,29,34,0.614000022,0.416999996,1.557000041,-0.726350367,-0.433312118,-1.118704557,-0.513028026,91.59999847,8.401966095,3.857231617,50.94194031,42.7141037,57.10161209,5.318544388,1.14509213,2.536000013,43416305664,2.123704433,50,0.347613513,36.79999924,2.724612236,74.7009964,-34000,45.01063538,9270795,1.71763885,55.81299973,2,4.668000221,66.80000305,16.10000038,75.19999695
Hong Kong,HKG,Asia,0,,0,,7496988,7039.714,44.8,16.303,10.158,84.86,56054.92,,8.33,,,,,60.57333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,Europe,4916,29.79393939,608,3.684848485,9660350,108.043,43.4,18.577,11.976,76.88,26777.561,0.5,7.55,34.8,26.8,,7.02,60.6935625,51.0421524,2.155740976,2,2,1,0,0,828,66.26000214,15,11,2,13,7,13,8.75,13,3,2,1,1.503000021,2.470999956,66,54,26,0.834999979,0.658999979,0.83099997,0.464301646,0.654678643,0.423058361,0.603421926,100,7.364793777,4.850701332,34.13663483,89.72620392,79.7186203,54.86818695,52.63406372,1.529999971,2.63522E+11,2.58308506,30.39999962,4.562465191,23.79999924,0.394769311,76.06341553,29999,29.69902611,9814023,-0.295110613,70.77899933,30.60000038,5.114999771,66.80000305,4.099999905,76
Iceland,ISL,Europe,2011,8.705627706,10,0.043290043,341250,3.404,37.3,14.431,9.207,82.99,46482.958,0.2,5.31,15.2,14.3,,2.91,32.23862832,16.27274132,1.710538983,2,2,2,2,,99,100,6,12,1,16,10,16,,16,1,1,1,1.083999991,1.292999983,73.30000305,79,,0.933000028,0.875,0.123999998,1.385732055,1.361623883,1.51954484,1.276846528,100,8.291514397,6.758420944,18.48991394,47.41275024,41.19854736,-5.147160053,-8.737250328,1.74000001,17638152192,5.871643543,27.79999924,11.39014912,23.5,1.696927667,82.20487976,1900,16.86918449,335439,1.388081551,93.73500061,14.69999981,2.977999926,73,1.600000024,82.40000153
India,IND,Asia,2647663,11511.57826,50921,221.3956522,1380004385,450.419,28.2,5.989,3.414,69.66,6426.674,21.2,10.39,20.6,1.9,59.55,0.53,58.11531818,42.57489014,1.850469947,0,1,2,0,11,176,15.80000019,10,10,3,13,9,10,8.5,14,2,2,3.025000095,2.545000076,1.261000037,56.20000076,38,66,0.635999978,0.597000003,7.513000011,0.07518322,-0.953839839,-0.028877169,-0.306505024,89.64585876,3.658330679,0.930193841,73.54953003,19.19475365,20.96413612,1.941056132,0.220364213,2.266000032,8.78792E+12,6.997009277,,0.399752706,,4.941026688,68.89700317,-2663434,64.57785797,1324509568,1.089880109,33.18199921,11.5,2.730000019,59.29999924,33.20000076,68.80000305
Indonesia,IDN,Asia,139549,622.9866071,6150,27.45535714,273523621,145.725,29.3,5.319,3.053,71.72,11188.744,5.7,6.32,76.1,2.8,64.204,1.04,49.78488789,48.56700897,1.978907943,0,2,2,0,8,1338,31.40999985,15,8,4,12,6,9,8.083333015,14,2,2,2.069000006,1.840000033,1.600999951,59.40000153,34,17,0.690999985,0.666000009,4.537000179,0.007638493,-0.372952431,-0.344751209,-0.122343853,97.62000275,3.124490976,1.397613168,54.84193039,19.08899307,18.33234787,0.487372458,-1.244176865,2.361999989,3.03521E+12,3.759693861,38.59999847,0.127675548,30.39999962,3.525805235,71.03500366,-494777,37.33550644,261554224,1.219765663,53.98899841,39.40000153,4.301000118,61.70000076,22.60000038,69.30000305
Intertiol,,,696,10.875,7,0.109375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,IRN,Asia,343203,1485.727273,19639,85.01731602,83992953,49.831,32.4,5.44,3.182,76.68,19082.62,0.2,9.59,21.1,0.8,,1.5,39.35592105,53.1661644,2.086201906,0,0,0,0,9,72,58.74000168,24,1,6,2,2,4,1.583333254,2,6,3,1,2.344000101,3.269999981,43.5,27,12,0.796000004,0.215000004,3.700999975,-0.191414446,-0.813075423,-0.679015219,-1.229368567,100,8.102770805,4.41807127,45.43603516,22.40402985,20.81043434,0.804818034,0.024849195,2.082999945,1.60324E+12,11.8686924,40,3.446397543,30.89999962,8.651257515,76.04699707,-274998,38.79371643,79564016,1.35624826,73.87999725,11,12.43000031,65.40000153,13.30000019,75.69999695
Iraq,IRQ,Asia,176931,772.6244541,5860,25.58951965,40222503,88.125,20,3.186,1.957,70.6,15663.986,2.5,8.83,,,94.576,1.4,65.62352941,58.73267365,3.714540005,0,1,1,0,18,9,41.04999924,16,6,6,5,2,4,5.25,5,5,3,5,3.516000032,1.97300005,,16,2,0.671999991,0.456999987,10,-1.267530084,-2.313587666,-1.625594735,-1.125068426,99.98625183,3.312163115,0.699609518,78.49973297,32.82273102,40.2664566,-3.67518568,0.178768694,3.864000082,6.52709E+11,10.35102081,,0.971576095,,0.556521416,70.12200165,39171,78.48120117,36610632,2.877254009,70.09400177,,8.093000412,59,23.89999962,69.80000305
Ireland,IRL,Europe,27257,119.0262009,1774,7.746724891,4937796,69.874,38.7,13.928,8.678,82.3,67335.293,0.2,3.28,25.7,23,,2.96,46.90268182,14.64549541,1.793002009,2,2,2,1,0,276,100,6,12,1,16,11,15,10,16,1,1,1,1.417000055,1.608999968,77.30000305,74,95,0.934000015,0.843999982,3.130000114,1.331620812,0.847818851,1.517243624,1.740965128,100,7.378304005,5.317288399,27.9300766,120.8153076,105.2260742,26.3506794,34.0123558,1.809999943,3.35357E+11,2.514046192,31.79999924,15.91693687,25.39999962,0.008306338,81.70487976,118020,12.9905901,4755335,1.128834009,62.73699951,24.29999924,8.366000175,72.09999847,3.200000048,81.5
Isle of Man,IMN,Europe,336,2.24,24,0.16,85032,147.872,,,,81.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,ISR,Asia,92680,406.4912281,685,3.004385965,8655541,402.606,30.6,11.733,7.359,82.97,33132.32,0.5,6.74,35.4,15.4,,2.99,54.45579909,30.21577835,1.768308043,1,2,2,0,7,205,92.02999878,11,10,2,12,10,11,8.583333969,14,1,2,1,2.744999886,3.095999956,70.69999695,60,35,0.90200001,0.720000029,5.046999931,1.345487714,-0.794536352,1.072176218,1.31262958,100,7.314411163,4.571547985,35.97019958,29.94352913,28.07829094,3.753546953,4.564623356,3.109999895,3.20589E+11,1.988826156,38.90000153,24.94689941,27.70000076,-0.544388592,82.40731812,50002,22.97221565,8546000,1.960348964,92.2559967,25.20000076,4.797999859,72.90000153,3.099999905,82.30000305
Italy,ITA,Europe,253915,1099.199134,35396,153.2294372,60461828,205.859,47.9,23.021,16.24,83.51,35220.084,2,4.78,27.8,19.8,,3.18,54.87013636,47.7086525,1.980465055,2,2,2,1,0,4847,100,9,12,1,15,10,14,10,14,1,2,1,1.743999958,1.720000029,61.20000076,43,68,0.878000021,0.847000003,2.74000001,0.534770429,0.369415313,0.329159915,0.710591853,100,8.935493469,6.653745174,25.53578186,29.6237011,26.42020035,1.372600079,0.815382302,1.340000033,2.36721E+12,1.290831566,35.40000153,9.680768013,25.70000076,-0.094016656,83.24390411,744713,23.10570526,60627496,-0.169884071,69.85500336,23.70000076,11.68799973,73.19999695,2.799999952,82.80000305
Jamaica,JAM,North America,1113,7.044303797,14,0.088607595,2961161,266.879,31.4,9.684,6.39,74.47,8193.571,,11.28,28.6,5.3,66.425,1.7,74.30941176,49.15894699,2.010094881,2,2,2,2,3,1,51.04000092,7,9,3,15,9,10,8.5,13,2,1,1,2.072000027,2.092000008,67.5,38,57,0.731999993,0.81099999,0.057,0.412204295,0.307683945,-0.203270406,0.163843378,98.48193359,6.07239151,3.677475929,38.28332901,31.28847694,44.64144135,6.594427109,1.919296384,2.009000063,25464389632,0.849831402,,0.829367042,,2.349758387,74.17500305,-56658,22.39644623,2906238,0.524973452,55.09799957,16.79999924,13.19200039,66.90000153,13.19999981,76
Japan,JPN,Asia,54952,237.8874459,1098,4.753246753,126476458,347.778,48.2,27.049,18.493,84.63,39002.223,,5.72,33.7,11.2,,13.05,29.37418919,17.36113358,1.630756021,2,2,2,1,0,1286,96.59999847,6,12,1,15,12,14,10,16,1,1,1,1.376999974,1.355999947,73.09999847,76,64,0.907000005,0.782000005,3.584000111,1.822037935,0.982944191,1.420991778,1.428122044,100,10.92612362,9.132674217,16.41432381,16.25276375,15.26260757,0.831275582,3.625379801,1.440000057,5.22177E+12,0.725146413,,1.614775062,,-0.116666667,83.98487854,357800,13.45210934,126994512,-0.115284175,91.45700073,22.10000038,3.099999905,74.80000305,1.899999976,84.19999695
Jersey,JEY,Europe,355,2.350993377,31,0.205298013,101073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,JOR,Asia,1378,8.721518987,11,0.069620253,10203140,109.285,23.2,3.81,2.361,74.53,8337.49,0.1,11.75,,,,1.4,68.13836601,33.2862587,1.74872303,1,2,0,0,6,27,68.81999969,20,4,5,7,3,8,3.416666508,6,5,3,1,2.119999886,2.187000036,68.30000305,49,27,0.735000014,0.243000001,3.773000002,0.13379024,-0.492398381,0.3043001,0.051679496,100,5.468210697,3.457353115,31.07203293,34.65612793,55.39705276,3.956331491,0.008252823,2.953999996,85802418176,-1.038735986,,40.97711182,,-0.778579652,74.18399811,51099,27.98257828,9551467,3.028091431,90.5059967,,15.27499962,66.40000153,14.80000019,74.30000305
Kazakhstan,KAZ,Asia,121639,779.7371795,1487,9.532051282,18776707,6.681,30.6,6.991,4.625,73.6,24055.588,0.1,7.11,43.1,7,98.999,6.7,80.06255034,50.09466934,2.10631609,1,2,1,0,9,34,62.88999939,23,1,5,4,1,8,1.833333254,3,7,3,1,1.957999945,2.747999907,63.59999847,29,25,0.796999991,0.264999986,2.937000036,-0.067045324,0.008457483,-0.435088873,-0.099700734,100,3.526149511,2.073025703,40.03628159,31.84388924,28.46770859,12.54456139,2.531048298,2.730000019,4.50454E+11,-0.327514619,27.20000076,20.12330437,22.70000076,14.36109447,72.30000305,-90000,35.56086731,17794056,1.422046185,57.26399994,24,4.960000038,63.40000153,9.800000191,71.09999847
Kenya,KEN,Africa,30120,191.8471338,474,3.01910828,53771300,87.324,20,2.686,1.528,66.7,2993.028,36.8,2.92,20.4,1.2,24.651,1.4,82.0095,57.38370132,2.287734032,1,2,1,0,10,4,0.629999995,17,7,4,10,5,7,7.25,10,4,2,1,2.329999924,1.957000017,57.5,25,14,0.584999979,0.504000008,6.149000168,-0.324937969,-1.354791045,-0.440551668,-0.300329715,65.40000153,4.549575329,1.645881891,44.3654213,14.31176567,23.33541489,0.568530858,0.227944732,3.663000107,1.53131E+11,3.346252203,40.79999924,2.354722977,31.60000038,6.297157288,65.39299774,-50000,27.71331787,49051688,2.421143293,26.10499954,10.69999981,9.62899971,58.90000153,32.40000153,66.69999695
Kosovo,OWID_KOS,Europe,11275,71.81528662,390,2.484076433,1932774,168.155,,,,,9795.834,0.6,,,,,,76.50566667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,KWT,Asia,76205,334.2324561,501,2.197368421,4270563,232.128,33.7,2.345,1.114,75.49,65530.537,,15.84,37,2.7,,2,61.09143498,45.02252579,1.922158957,1,2,1,0,3,6,65.79000092,16,4,5,6,4,6,2.416666508,7,5,2,1,1.822999954,1.886000037,62.70000076,44,52,0.80400002,0.307999998,3.786000013,-0.163532749,-0.049683165,0.027930332,-0.073881961,100,3.903944969,3.274968863,16.11129379,48.89006042,47.0622406,0.266885728,5.851418972,2.082000017,2.99493E+11,-0.228664428,,73.63954926,,3.198397875,75.22399902,197600,16.11129379,3956873,3.113053799,100,22.5,2.160000086,66.30000305,7.099999905,74.80000305
Kyrgyzstan,KGZ,Asia,41991,276.2565789,1496,9.842105263,6524191,32.333,26.3,4.489,2.882,71.45,3393.474,1.4,7.11,50.5,3.6,89.22,4.5,81.594,61.29831314,2.396724939,1,2,1,0,12,5,44.74000168,20,4,5,9,4,7,5.916666508,6,5,3,1.261000037,2.219000101,2.321000099,59.59999847,27,5,0.66900003,0.463,2.023000002,-0.895620763,-0.646861911,-1.022858143,-0.352632105,99.99534607,6.625287533,2.590880394,57.59739304,35.82540894,69.99816895,9.088687897,0.590802252,3.099999905,21690517504,2.19667244,26.79999924,3.440796375,22.89999962,0.388838291,70.95121765,-20000,57.58837509,6079500,2.037224531,35.94400024,26.5,7.210000038,63.5,18.89999962,71.40000153
Laos,LAO,Asia,20,0.136986301,0,0,7275556,29.715,24.4,4.029,2.322,67.92,6397.36,22.7,4,51.2,7.3,49.839,1.5,51.97794326,48.50216293,2.008737087,0,0,0,0,12,5,27.59000015,25,0,6,4,1,5,1.166666627,0,7,3,1,1.812999964,1.940999985,49.79999924,25,41,0.59799999,0.089000002,1.955000043,-0.398208231,0.532291293,-0.795824528,-0.724868119,90.81182098,2.360874891,0.764948428,49.47957993,33.20939636,41.8824234,5.917458534,0.096068583,2.750999928,44314738688,5.386568069,,0.327020347,,1.596913457,66.9240036,-73518,46.44212341,6845846,1.540943503,33.73600006,28.89999962,0.647000015,57.90000153,40.40000153,65.80000305
Latvia,LVA,Europe,1322,8.06097561,32,0.195121951,1886202,31.212,43.9,19.754,14.136,75.29,25063.846,0.7,4.91,51,25.6,,5.57,51.7086875,44.35366058,1.992701054,1,2,2,1,0,85,60.61999893,11,12,2,15,9,12,9.083333969,15,1,1,1,1.671000004,2.772000074,70.40000153,55,25,0.843999982,0.837000012,0,1.005264163,0.479069233,0.958982587,1.080243349,100,6.242929459,3.410673141,45.36742783,59.9789772,58.82472992,0.879219055,0.884136438,1.74000001,50634264576,3.001407862,34.20000076,13.35324001,26.10000038,0.14063333,74.58049011,-74186,44.55706406,1959537,-0.913885355,68.02100372,37,9.642999649,66.19999695,3.900000095,75
Lebanon,LBN,Asia,8881,39.12334802,103,0.453744493,6825442,594.561,31.1,8.514,5.43,78.93,13367.565,,12.71,40.7,26.9,,2.9,51.98107623,60.74518204,2.370764017,1,2,1,0,5,38,60.31000137,15,7,4,11,2,7,6.083333015,9,5,2,2.085999966,2.803999901,2.013000011,59.5,27,11,0.753000021,0.549000025,5.618999958,-0.538509786,-1.618972659,-0.830496848,-0.343161523,100,8.016732216,4.179319859,47.02752686,25.265131,46.74585724,5.012749195,1.960892558,2.104000092,85188042752,-1.096079946,,34.14567947,,-0.783359647,78.80000305,-150060,32.13697052,6711121,2.694903374,88.26599884,33.79999924,6.263000011,66.09999847,6.800000191,76.30000305
Lesotho,LSO,Africa,946,9.957894737,30,0.315789474,2142252,73.562,22.2,4.506,2.647,54.33,2851.153,59.6,3.94,53.9,0.4,2.117,,61.36775,49.91484833,2.153356075,1,2,2,0,9,,2.859999895,16,7,3,12,6,9,7.833333015,11,3,2,1,2.065000057,1.728000045,50.59999847,49,14,0.515999973,0.588,0.381999999,-0.801859081,-0.236465171,-0.168290794,-0.387589872,31.87130165,8.07657814,5.153386593,18.8856411,41.66178513,81.98480988,3.377688646,,3.197000027,6576430080,2.384384394,,0.30781883,,6.596504688,52.05899811,-50234,18.8856411,2075001,0.773100853,27.31699944,26.70000076,24.16500092,46.59999847,70.30000305,52.90000153
Liberia,LBR,Africa,1257,8.162337662,82,0.532467532,5057677,49.127,19.2,3.057,1.756,64.1,752.788,38.6,2.42,18.1,1.5,1.188,0.8,78.24006849,49.64477921,2.216912031,2,1,2,0,13,,4.789999962,21,8,4,11,7,8,6.916666985,12,3,2,1,2.059000015,1.363999963,52.20000076,37,10,0.432000011,0.610000014,0.123999998,-1.278930902,-0.437407762,-0.945159376,-0.948493421,19.79999924,9.615110397,1.36978507,55.3110466,21.41663361,100.2598038,9.509344101,5.115076065,4.460999966,5824698880,-4.057198048,35.29999924,2.52649188,27.10000038,8.834248543,62.80199814,-25000,47.26150894,4586788,2.529283047,50.25400162,9.800000191,2.150000095,54.5,56.70000076,62.90000153
Libya,LBY,Africa,7738,53,145,0.993150685,6871287,3.623,29,4.424,2.816,72.91,17881.509,,10.43,,,,3.7,94.76696296,62.80883408,3.083213091,1,2,1,0,13,5,54.93000031,20,2,6,4,0,4,2.916666746,2,7,3,3.98300004,3.339999914,1.782999992,,18,0,0.693000019,0.286000013,7.231999874,-1.891928911,-2.283329964,-1.816694379,-2.274460793,71.69437408,,,,26.1384449,44.07581711,0,1.676095247,2.316999912,97152139264,-3.901180029,,12.28244972,,2.605818033,72.31099701,-9997,,6492164,1.144028902,79.54000092,,16.23900032,62.29999924,11,71.90000153
Liechtenstein,LIE,Europe,93,0.58125,1,0.00625,38137,237.012,,,,82.49,,,7.77,,,,2.397,,10.5420742,3.373393059,2,2,2,2,,11,,8,12,1,16,10,16,,13,2,1,,,,,,,0.915000021,,,1.705848932,1.47792685,1.688664436,1.372598171,100,,,,,,976.2415161,,1.610000014,,,,62.59625244,,,82.25853729,,,37658,0.500480235,14.30300045,,,,,
Lithuania,LTU,Europe,2416,10.88288288,81,0.364864865,2722291,45.135,43.5,19.002,13.778,75.93,29524.265,0.7,3.67,38,21.3,,6.56,38.81689956,41.83670044,1.956243038,1,2,2,1,1,140,58.50999832,9,11,1,16,10,13,10,16,1,1,1,1.733999968,3.009000063,75.19999695,58,25,0.855000019,0.819999993,0,1.070065498,0.828279972,1.029358149,1.136218548,100,6.671582699,4.376716137,33.40584564,74.10436249,72.82484436,2.239288092,1.889297605,1.690000057,86907166720,3.662075996,37.40000153,4.726089478,28.60000038,0.905521572,74.67073059,-163902,32.3396225,2868231,-1.270694494,67.36599731,28.79999924,7.861999989,66.09999847,3.799999952,75
Luxembourg,LUX,Europe,7439,33.20982143,123,0.549107143,625976,231.447,39.7,14.312,9.842,82.25,94277.965,0.2,4.42,26,20.9,,4.51,34.47817352,12.60104465,1.675730944,2,2,2,2,0,70,99.30000305,6,12,1,16,10,16,10,16,1,1,,,,73.90000153,82,71,0.903999984,0.879000008,,1.692345738,1.419484735,1.760356069,1.722079396,100,6.163785458,5.005305767,17.63002014,223.6164093,189.8989716,54.0660553,51.13565445,1.409999967,61159239680,0.227761909,33.79999924,43.96413422,25.39999962,0.290833324,82.68536377,48704,11.23414993,582014,2.155312061,90.45999908,23.5,6.290999889,72.59999847,2.099999905,82.40000153
Macedonia,MKD,Europe,12739,57.38288288,544,2.45045045,2083380,82.6,39.1,13.26,8.16,75.8,13111.214,5,10.08,,,,4.28,,40.02554321,2.032279015,1,2,1,0,2,82,69.16000366,20,8,3,10,5,10,7.666666985,10,4,3,1,2.128999949,2.312999964,67.5,45,14,0.755999982,0.5,1.182000041,0.103796698,-0.351204664,-0.277565151,0.440940082,100,6.344108582,4.032680988,35.70858002,50.66384125,65.52173615,5.14755249,1.874040484,1.506000042,30822819840,2.778401136,35.59999847,6.289773941,24.79999924,-0.239290789,75.4980011,-4999,35.40909576,2080745,0.06812381,57.56299973,,23.72400093,67.09999847,10.5,75.90000153
Madagascar,MDG,Africa,13827,92.18,170,1.133333333,27691019,43.951,19.6,2.929,1.686,67.04,1416.44,77.6,3.94,,,50.54,0.2,74.43211268,63.55680847,2.449975967,0,2,1,0,11,9,4.039999962,16,8,4,10,5,8,6.916666985,10,3,2,1,1.914000034,1.69599998,61.09999847,28,2,0.51700002,0.48300001,3.275000095,-1.167727113,-0.290094614,-0.813404381,-0.68974179,22.89999962,6.003637314,2.860923529,27.28347969,33.63980103,35.9120636,5.430881977,0.901003063,4.184000015,37539287040,1.41674757,,0.132347777,,6.654801846,65.93099976,-7500,22.35844231,24894380,2.688183784,35.85599899,,1.754999995,58.29999924,39.90000153,66.09999847
Malawi,MWI,Africa,5072,37.02189781,161,1.175182482,19129955,197.519,18.1,2.979,1.783,64.26,1095.042,71.4,3.94,24.7,4.4,8.704,1.3,56.99302326,59.7039299,2.342876911,1,2,2,1,14,,8.279999733,15,8,3,13,6,7,7.333333015,12,3,2,1,1.824000001,1.55400002,51.79999924,33,22,0.474000007,0.566999972,0,-0.725998461,-0.113478556,-0.375330955,-0.844848573,11,9.830342293,2.75722456,18.19533157,32.96691895,44.9407959,5.993556976,-0.077592589,4.407000065,21169672192,-0.25588569,44.70000076,1.249811769,38.09999847,21.71111298,62.68099976,-80263,11.38812065,17205288,2.709903479,16.50600052,14.5,5.711999893,56.20000076,38.29999924,64.19999695
Malaysia,MYS,Asia,9200,40,125,0.543478261,32365998,96.254,29.9,6.293,3.407,76.16,26808.164,0.1,16.74,42.4,1,,1.9,46.72091743,35.19094467,1.71765995,0,0,1,0,5,472,63,18,5,4,7,5,9,6.25,7,4,3,1,1.649999976,2.321000099,71.5,52,8,0.799000025,0.310000002,3.321000099,0.86577493,0.136824623,0.499149472,0.711795211,100,3.802195072,1.919026375,49.50778961,67.78858185,61.03580856,4.539151192,3.402594328,2.036999941,8.64868E+11,2.817762375,41,8.289348602,31.29999924,2.090566635,75.64900208,249999,37.59584427,30684804,1.357864499,74.83999634,21.5,3.440000057,66.59999847,6.800000191,75.30000305
Maldives,MDV,Asia,5785,35.93167702,22,0.136645963,540542,1454.433,30.6,4.12,2.875,78.92,15183.616,,9.19,55,2.1,95.803,,,51.59947205,3.660659075,1,2,1,0,,6,57.61999893,16,5,5,5,5,7,,5,5,3,,,,53.90000153,21.89999962,,0.712000012,0.368000001,,-0.321406305,0.420992821,-0.407596409,-0.457904965,99.96797943,10.61083984,7.699194431,26.98676109,71.30751801,72.45553589,10.3451128,,1.947000027,6683781120,2.641694784,,25.87218094,,0.502509415,78.01300049,56851,19.10066605,475513,4.428363323,38.95399857,28.29999924,6.119999886,69.80000305,8.100000381,78.40000153
Mali,MLI,Africa,2614,18.02758621,125,0.862068966,20250834,15.196,16.4,2.519,1.486,59.31,2014.306,,2.42,23,1.6,52.232,0.1,59.11130435,60.41145706,2.37037611,0,2,2,0,16,,2.690000057,10,6,4,12,4,4,5.833333015,7,5,2,2.948999882,2.696000099,1.261000037,56.5,32,3,0.421000004,0.535000026,5.875,-0.992751062,-1.617232561,-0.782161713,-0.590875208,39.7546196,3.819619417,1.206952929,36.22820663,23.45121956,40.33843231,2.54257369,0.691966295,6.05700016,38294925312,2.69850564,,2.063359737,,-1.799647093,57.98699951,-200000,35.28017044,17965428,2.975295305,40.78300095,12.30000019,9.729999542,50.70000076,65.40000153,58
Malta,MLT,Europe,1205,7.347560976,9,0.054878049,441539,1454.037,42.4,19.426,11.324,82.53,36513.323,0.2,8.83,30.2,20.9,,4.485,,38.15211868,1.74089098,2,2,2,1,,54,100,9,12,1,16,11,14,,16,1,1,,,,66.69999695,55,,0.875,0.736000001,,0.9557845,1.080441356,0.997758865,1.156792164,100,9.295310974,5.866348743,36.88909531,151.9353638,138.1661224,27.46479034,-55.82728195,1.370000005,17457840128,3.312930346,29.39999962,9.898488045,23.60000038,0.642702758,82.45365906,4501,34.77524567,455356,2.288615465,94.48000336,25.5,4.702000141,72.19999695,6.099999905,81.5
Mauritania,MRT,Africa,6701,42.95512821,157,1.006410256,4649660,4.289,20.3,3.138,1.792,64.92,3597.633,6,2.42,,,15.95,,63.61,66.30932617,2.498754025,1,0,2,1,16,,14.67000008,16,4,5,9,4,4,3.25,2,6,2,1,2.361000061,1.34800005,54.79999924,30,7,0.515999973,0.423000008,0,-0.771947205,-0.746967673,-0.726431847,-0.743001759,41.35232162,4.241015434,1.554389358,55.13705826,37.15047455,63.37795258,5.734738827,0.021891154,4.678999901,16588413952,-0.872023165,32.59999847,3.396676779,24.89999962,1.471710443,64.20800018,25002,50.90309525,4163534,2.856110334,51.9620018,,10.37800026,56.40000153,54.09999847,63.90000153
